500000 4000
8680 35765 62 8681
8681 35765 63 8682
8682 35765 64 8683
8683 35765 65 8684
8684 35765 66 8685
8685 35765 67 8686
8686 35765 68 8687
8687 35765 69 8688
8688 35765 70 8689
8689 35765 71 8690
8690 35765 72 8691
8691 35765 73 8692
8692 35765 74 8693
8693 35765 75 8694
8694 35765 76 8695
8695 35765 77 8696
8696 35765 78 8697
8697 35765 79 8698
8698 35765 80 8699
8699 35765 81 8700
8700 35765 82 8701
8701 35765 83 8702
8702 35765 84 8703
8703 35765 85 8704
8704 35765 86 8705
8705 35765 87 8706
8706 35765 88 8707
8707 35765 89 8708
8708 35765 90 8709
8709 35765 91 8710
8710 35765 92 8711
8711 35765 93 8712
8712 35765 94 8713
8713 35765 95 8714
8714 35765 96 8715
8715 35765 97 8716
8716 35765 98 8717
8717 35765 99 8718
8718 35765 100 8719
8719 35765 101 8720
8720 35765 102 8721
8721 35765 103 8722
8722 35765 104 8723
8723 35765 105 8724
8724 35765 106 8725
8725 35765 107 8726
8726 35765 108 8727
8727 35765 109 8728
8728 35765 110 8729
8729 35765 111 8730
8730 35765 112 8731
8731 35765 113 8732
8732 35765 114 8733
8733 35765 115 8734
8734 35765 116 8735
8735 35765 117 8736
8736 35765 118 8737
8737 35765 119 8738
8738 35765 120 8739
8739 35765 121 8740
8740 35765 122 8741
8741 35765 123 277388
8742 41252 100 148152
8743 0 0 0
8744 0 0 0
8745 50310 64 294302
8746 13079 1 8747
8747 13079 2 8748
8748 13079 3 8749
8749 13079 4 8750
8750 13079 5 8751
8751 13079 6 8752
8752 13079 7 8753
8753 13079 8 8754
8754 13079 9 8755
8755 13079 10 8756
8756 13079 11 8757
8757 13079 12 8758
8758 13079 13 8759
8759 13079 14 8760
8760 13079 15 8761
8761 13079 16 8762
8762 13079 17 8763
8763 13079 18 8764
8764 13079 19 8765
8765 13079 20 8766
8766 13079 21 8767
8767 13079 22 8768
8768 13079 23 11125
8769 28423 15 350694
8770 30611 149 482240
8771 0 0 0
8772 0 0 0
8773 14850 25 276388
8774 49882 37 81642
8775 43413 65 227931
8776 0 0 0
8777 0 0 0
8778 54788 103 176249
8779 42678 10 169610
8780 0 0 0
8781 0 0 0
8782 3237 129 298140
8783 30621 150 373705
8784 48157 104 184711
8785 55693 146 221094
8786 26589 83 64032
8787 63289 27 280634
8788 0 0 0
8789 0 0 0
8790 63680 109 124266
8791 45656 33 460549
8792 0 0 0
8793 21024 28 53668
8794 55077 53 8795
8795 55077 54 8796
8796 55077 55 8797
8797 55077 56 8798
8798 55077 57 8799
8799 55077 58 8800
8800 55077 59 8801
8801 55077 60 8802
8802 55077 61 8803
8803 55077 62 8804
8804 55077 63 8805
8805 55077 64 8806
8806 55077 65 8807
8807 55077 66 8808
8808 55077 67 8809
8809 55077 68 8810
8810 55077 69 152095
8811 28277 147 467932
8812 22438 35 4262
8813 40788 84 8814
8814 40788 85 8815
8815 40788 86 8816
8816 40788 87 8817
8817 40788 88 293556
8818 46624 15 486782
8819 0 0 0
8820 41001 63 8821
8821 41001 64 8822
8822 41001 65 8823
8823 41001 66 8824
8824 41001 67 8825
8825 41001 68 8826
8826 41001 69 8827
8827 41001 70 106363
8828 23826 107 8829
8829 23826 108 8830
8830 23826 109 8831
8831 23826 110 8832
8832 23826 111 8833
8833 23826 112 8834
8834 23826 113 8835
8835 23826 114 8836
8836 23826 115 12602
8837 61421 7 473904
8838 37656 187 23657
8839 3251 37 149638
8840 0 0 0
8841 31434 82 99928
8842 0 0 0
8843 0 0 0
8844 24783 18 157404
8845 0 0 0
8846 38078 68 202983
8847 0 0 0
8848 1818 125 394607
8849 0 0 0
8850 16828 73 8851
8851 16828 74 8852
8852 16828 75 8853
8853 16828 76 8854
8854 16828 77 173808
8855 61644 11 121524
8856 23905 68 8857
8857 23905 69 8858
8858 23905 70 8859
8859 23905 71 260293
8860 11147 23 25163
8861 0 0 0
8862 0 0 0
8863 0 0 0
8864 52172 48 147064
8865 0 0 0
8866 54810 94 8867
8867 54810 95 8868
8868 54810 96 8869
8869 54810 97 8870
8870 54810 98 8871
8871 54810 99 276052
8872 57036 47 288986
8873 0 0 0
8874 34816 117 8875
8875 34816 118 8876
8876 34816 119 8877
8877 34816 120 8878
8878 34816 121 8879
8879 34816 122 8880
8880 34816 123 8881
8881 34816 124 8882
8882 34816 125 8883
8883 34816 126 8884
8884 34816 127 8885
8885 34816 128 8886
8886 34816 129 8887
8887 34816 130 8888
8888 34816 131 8889
8889 34816 132 8890
8890 34816 133 8891
8891 34816 134 8892
8892 34816 135 8893
8893 34816 136 8894
8894 34816 137 8895
8895 34816 138 8896
8896 34816 139 8897
8897 34816 140 8898
8898 34816 141 8899
8899 34816 142 327446
8900 9270 54 289754
8901 0 0 0
8902 29224 26 8903
8903 29224 27 8904
8904 29224 28 8905
8905 29224 29 8906
8906 29224 30 8907
8907 29224 31 63314
8908 8624 42 223341
8909 0 0 0
8910 0 0 0
8911 0 0 0
8912 40902 66 8913
8913 40902 67 8914
8914 40902 68 8915
8915 40902 69 8916
8916 40902 70 8917
8917 40902 71 8918
8918 40902 72 8919
8919 40902 73 8920
8920 40902 74 8921
8921 40902 75 8922
8922 40902 76 8923
8923 40902 77 8924
8924 40902 78 8925
8925 40902 79 8926
8926 40902 80 8927
8927 40902 81 8928
8928 40902 82 8929
8929 40902 83 8930
8930 40902 84 8931
8931 40902 85 11398
8932 37675 81 177978
8933 0 0 0
8934 0 0 0
8935 49296 162 227011
8936 30352 1 99247
8937 11189 10 96666
8938 53055 76 441472
8939 0 0 0
8940 23091 22 411356
8941 0 0 0
8942 12328 7 224599
8943 19934 171 281139
8944 14851 37 269498
8945 0 0 0
8946 34516 113 8947
8947 34516 114 72541
8948 38848 94 34148
8949 0 0 0
8950 41380 64 363434
8951 0 0 0
8952 35120 64 61341
8953 14128 100 402982
8954 3196 37 20330
8955 0 0 0
8956 33537 168 303414
8957 632 163 44936
8958 0 0 0
8959 14420 152 48042
8960 7620 67 27804
8961 0 0 0
8962 6557 33 241700
8963 37288 30 318519
8964 59381 9 217406
8965 0 0 0
8966 63289 30 387092
8967 0 0 0
8968 28894 37 8969
8969 28894 38 8970
8970 28894 39 8971
8971 28894 40 8972
8972 28894 41 8973
8973 28894 42 8974
8974 28894 43 8975
8975 28894 44 8976
8976 28894 45 8977
8977 28894 46 8978
8978 28894 47 8979
8979 28894 48 8980
8980 28894 49 8981
8981 28894 50 8982
8982 28894 51 8983
8983 28894 52 8984
8984 28894 53 8985
8985 28894 54 8986
8986 28894 55 8987
8987 28894 56 8988
8988 28894 57 8989
8989 28894 58 8990
8990 28894 59 8991
8991 28894 60 8992
8992 28894 61 8993
8993 28894 62 8994
8994 28894 63 8995
8995 28894 64 8996
8996 28894 65 8997
8997 28894 66 395292
8998 5610 112 220200
8999 47959 143 1
9000 0 0 0
9001 0 0 0
9002 53123 1 9003
9003 53123 2 9004
9004 53123 3 9005
9005 53123 4 9006
9006 53123 5 9007
9007 53123 6 9008
9008 53123 7 9009
9009 53123 8 9010
9010 53123 9 9011
9011 53123 10 9012
9012 53123 11 9013
9013 53123 12 9014
9014 53123 13 9015
9015 53123 14 9016
9016 53123 15 9017
9017 53123 16 9018
9018 53123 17 9019
9019 53123 18 9020
9020 53123 19 9021
9021 53123 20 9022
9022 53123 21 9023
9023 53123 22 9024
9024 53123 23 9025
9025 53123 24 9026
9026 53123 25 9027
9027 53123 26 9028
9028 53123 27 9029
9029 53123 28 9030
9030 53123 29 358869
9031 11890 55 127344
9032 12309 61 366917
9033 0 0 0
9034 35333 158 261103
9035 20598 63 222056
9036 63056 54 316100
9037 0 0 0
9038 13421 51 9039
9039 13421 52 9040
9040 13421 53 59034
9041 35083 66 388514
9042 30611 81 97468
9043 25523 40 162194
9044 14864 59 9045
9045 14864 60 340982
9046 21024 106 192887
9047 0 0 0
9048 63585 26 90734
9049 0 0 0
9050 52120 33 334344
9051 0 0 0
9052 0 0 0
9053 43109 19 265977
9054 64387 97 9055
9055 64387 98 195724
9056 5159 90 9057
9057 5159 91 9058
9058 5159 92 9059
9059 5159 93 9060
9060 5159 94 112758
9061 34819 95 402135
9062 57122 108 395375
9063 8228 186 9064
9064 8228 187 9065
9065 8228 188 9066
9066 8228 189 9067
9067 8228 190 9068
9068 8228 191 9069
9069 8228 192 495198
9070 63625 43 9071
9071 63625 44 9072
9072 63625 45 9073
9073 63625 46 54691
9074 2326 140 139012
9075 47990 63 171314
9076 4335 31 291852
9077 0 0 0
9078 43594 82 144666
9079 31538 82 80986
9080 0 0 0
9081 0 0 0
9082 2175 82 203380
9083 0 0 0
9084 63042 40 9085
9085 63042 41 9086
9086 63042 42 1
9087 37705 33 164042
9088 0 0 0
9089 47959 80 184216
9090 35988 2 85792
9091 0 0 0
9092 37288 2 67850
9093 35794 111 9094
9094 35794 112 9095
9095 35794 113 9096
9096 35794 114 9097
9097 35794 115 9098
9098 35794 116 9099
9099 35794 117 9100
9100 35794 118 9101
9101 35794 119 9102
9102 35794 120 9103
9103 35794 121 9104
9104 35794 122 9105
9105 35794 123 9106
9106 35794 124 9107
9107 35794 125 343690
9108 63642 69 16381
9109 0 0 0
9110 21710 133 90688
9111 617 17 107846
9112 0 0 0
9113 5842 146 9114
9114 5842 147 9115
9115 5842 148 356932
9116 35515 90 347057
9117 0 0 0
9118 63176 92 307410
9119 0 0 0
9120 27448 10 9121
9121 27448 11 9122
9122 27448 12 9123
9123 27448 13 9124
9124 27448 14 9125
9125 27448 15 280574
9126 18499 132 18994
9127 3106 8 454192
9128 32470 15 118036
9129 0 0 0
9130 9717 18 1380
9131 25661 106 9132
9132 25661 107 9133
9133 25661 108 9134
9134 25661 109 9135
9135 25661 110 9136
9136 25661 111 183486
9137 4335 103 402573
9138 3765 54 9139
9139 3765 55 9140
9140 3765 56 9141
9141 3765 57 9142
9142 3765 58 9143
9143 3765 59 294820
9144 63582 81 321672
9145 40211 87 9146
9146 40211 88 133563
9147 38375 44 314341
9148 36653 64 405693
9149 0 0 0
9150 52172 160 120436
9151 43298 75 70142
9152 43938 127 303684
9153 56336 42 46928
9154 44397 25 9155
9155 44397 26 9156
9156 44397 27 9157
9157 44397 28 9158
9158 44397 29 1
9159 0 0 0
9160 0 0 0
9161 0 0 0
9162 0 0 0
9163 56658 191 332807
9164 3196 120 200207
9165 28029 17 264620
9166 22080 52 479010
9167 0 0 0
9168 15669 46 60134
9169 0 0 0
9170 26014 21 244962
9171 16494 5 82208
9172 34029 70 455212
9173 49734 47 439072
9174 53383 89 9175
9175 53383 90 9176
9176 53383 91 9177
9177 53383 92 1
9178 0 0 0
9179 51480 180 9180
9180 51480 181 9181
9181 51480 182 9182
9182 51480 183 9183
9183 51480 184 9184
9184 51480 185 9185
9185 51480 186 1
9186 19205 17 348495
9187 0 0 0
9188 61124 72 62500
9189 0 0 0
9190 15078 148 472976
9191 0 0 0
9192 48983 40 206064
9193 0 0 0
9194 1348 48 9195
9195 1348 49 9196
9196 1348 50 9197
9197 1348 51 487475
9198 9270 25 134455
9199 0 0 0
9200 41380 7 271034
9201 51769 74 216458
9202 10117 46 350166
9203 0 0 0
9204 25544 16 421196
9205 0 0 0
9206 6809 69 137165
9207 0 0 0
9208 0 0 0
9209 50331 83 157532
9210 6809 80 48072
9211 0 0 0
9212 0 0 0
9213 52827 17 9214
9214 52827 18 9215
9215 52827 19 9216
9216 52827 20 9217
9217 52827 21 9218
9218 52827 22 9219
9219 52827 23 9220
9220 52827 24 9221
9221 52827 25 9222
9222 52827 26 9223
9223 52827 27 9224
9224 52827 28 9225
9225 52827 29 9226
9226 52827 30 9227
9227 52827 31 9228
9228 52827 32 9229
9229 52827 33 9230
9230 52827 34 9231
9231 52827 35 9232
9232 52827 36 9233
9233 52827 37 447270
9234 11189 110 108854
9235 24044 23 397784
9236 0 0 0
9237 0 0 0
9238 0 0 0
9239 0 0 0
9240 8492 138 209920
9241 0 0 0
9242 13136 54 207621
9243 0 0 0
9244 56253 101 341992
9245 2049 44 139960
9246 0 0 0
9247 0 0 0
9248 46928 22 121776
9249 0 0 0
9250 15440 67 333446
9251 45416 16 1024
9252 10741 41 410332
9253 0 0 0
9254 0 0 0
9255 0 0 0
9256 56478 9 208585
9257 13136 136 31562
9258 30099 78 457637
9259 52438 64 493034
9260 24328 138 9261
9261 24328 139 9262
9262 24328 140 9263
9263 24328 141 9264
9264 24328 142 9265
9265 24328 143 132444
9266 29274 58 223602
9267 39790 129 162778
9268 0 0 0
9269 20036 81 9270
9270 20036 82 1
9271 0 0 0
9272 11529 133 9273
9273 11529 134 9274
9274 11529 135 390174
9275 27571 26 63054
9276 13474 13 9277
9277 13474 14 9278
9278 13474 15 9279
9279 13474 16 9280
9280 13474 17 9281
9281 13474 18 9282
9282 13474 19 9283
9283 13474 20 9284
9284 13474 21 9285
9285 13474 22 9286
9286 13474 23 9287
9287 13474 24 265328
9288 5587 17 212808
9289 0 0 0
9290 49675 165 9291
9291 49675 166 9292
9292 49675 167 9293
9293 49675 168 9294
9294 49675 169 9295
9295 49675 170 3535
9296 57122 41 341702
9297 60102 78 48284
9298 24153 154 223972
9299 0 0 0
9300 42386 151 422040
9301 0 0 0
9302 58121 30 9303
9303 58121 31 9304
9304 58121 32 9305
9305 58121 33 162729
9306 42678 115 10634
9307 0 0 0
9308 51059 66 133286
9309 15884 21 312430
9310 59309 66 269366
9311 0 0 0
9312 1754 137 278233
9313 0 0 0
9314 4551 95 159880
9315 0 0 0
9316 60670 99 251184
9317 0 0 0
9318 37450 36 98298
9319 0 0 0
9320 0 0 0
9321 0 0 0
9322 42711 52 166402
9323 0 0 0
9324 8844 12 430193
9325 0 0 0
9326 26209 32 94611
9327 65206 102 369471
9328 23853 21 223283
9329 0 0 0
9330 24466 38 189371
9331 0 0 0
9332 33498 65 432846
9333 0 0 0
9334 44861 8 13135
9335 62461 146 9336
9336 62461 147 9337
9337 62461 148 9338
9338 62461 149 192531
9339 36693 136 203482
9340 53073 122 111004
9341 26964 32 9342
9342 26964 33 9343
9343 26964 34 280831
9344 48849 143 223140
9345 0 0 0
9346 1511 103 263076
9347 0 0 0
9348 0 0 0
9349 59293 70 9350
9350 59293 71 9351
9351 59293 72 9352
9352 59293 73 9353
9353 59293 74 9354
9354 59293 75 9355
9355 59293 76 9356
9356 59293 77 9357
9357 59293 78 9358
9358 59293 79 9359
9359 59293 80 9360
9360 59293 81 9361
9361 59293 82 9362
9362 59293 83 492532
9363 16037 7 156386
9364 31442 64 9365
9365 31442 65 9366
9366 31442 66 9367
9367 31442 67 9368
9368 31442 68 1
9369 49934 21 350378
9370 63642 11 314496
9371 0 0 0
9372 55360 145 9373
9373 55360 146 9374
9374 55360 147 420544
9375 35528 30 165026
9376 35045 32 369050
9377 0 0 0
9378 14092 90 201382
9379 45812 66 387491
9380 0 0 0
9381 29939 35 9382
9382 29939 36 9383
9383 29939 37 9384
9384 29939 38 9385
9385 29939 39 9386
9386 29939 40 9387
9387 29939 41 106290
9388 41974 156 9389
9389 41974 157 9390
9390 41974 158 9391
9391 41974 159 9392
9392 41974 160 9393
9393 41974 161 9394
9394 41974 162 9395
9395 41974 163 9396
9396 41974 164 9397
9397 41974 165 9398
9398 41974 166 9399
9399 41974 167 9400
9400 41974 168 9401
9401 41974 169 126930
9402 19079 62 24110
9403 1750 22 9404
9404 1750 23 9405
9405 1750 24 162745
9406 54313 53 35512
9407 3125 99 32702
9408 39089 118 9409
9409 39089 119 9410
9410 39089 120 9411
9411 39089 121 9412
9412 39089 122 188790
9413 13136 184 278601
9414 7167 58 451916
9415 0 0 0
9416 47127 66 403013
9417 40007 18 9418
9418 40007 19 9419
9419 40007 20 163465
9420 48849 80 264236
9421 5842 119 9422
9422 5842 120 9423
9423 5842 121 9424
9424 5842 122 9425
9425 5842 123 260564
9426 48630 159 265048
9427 26162 54 49766
9428 62463 27 9429
9429 62463 28 9430
9430 62463 29 9431
9431 62463 30 9432
9432 62463 31 9433
9433 62463 32 9434
9434 62463 33 9435
9435 62463 34 9436
9436 62463 35 9437
9437 62463 36 451072
9438 3529 16 223996
9439 26902 96 9440
9440 26902 97 9441
9441 26902 98 444447
9442 48630 15 153094
9443 0 0 0
9444 46928 109 371624
9445 0 0 0
9446 65088 27 207454
9447 0 0 0
9448 3125 51 43553
9449 0 0 0
9450 20813 43 9451
9451 20813 44 9452
9452 20813 45 9453
9453 20813 46 9454
9454 20813 47 79900
9455 38078 17 300724
9456 42455 146 9457
9457 42455 147 9458
9458 42455 148 9459
9459 42455 149 9460
9460 42455 150 9461
9461 42455 151 414666
9462 32583 125 9463
9463 32583 126 9464
9464 32583 127 9465
9465 32583 128 9466
9466 32583 129 9467
9467 32583 130 9468
9468 32583 131 9469
9469 32583 132 9470
9470 32583 133 9471
9471 32583 134 9472
9472 32583 135 9473
9473 32583 136 9474
9474 32583 137 9475
9475 32583 138 9476
9476 32583 139 9477
9477 32583 140 9478
9478 32583 141 9479
9479 32583 142 9480
9480 32583 143 9481
9481 32583 144 9482
9482 32583 145 9483
9483 32583 146 9484
9484 32583 147 9485
9485 32583 148 9486
9486 32583 149 9487
9487 32583 150 9488
9488 32583 151 9489
9489 32583 152 9490
9490 32583 153 9491
9491 32583 154 9492
9492 32583 155 9493
9493 32583 156 9494
9494 32583 157 9495
9495 32583 158 9496
9496 32583 159 1
9497 0 0 0
9498 18636 130 9499
9499 18636 131 9500
9500 18636 132 9501
9501 18636 133 9502
9502 18636 134 9503
9503 18636 135 9504
9504 18636 136 9505
9505 18636 137 9506
9506 18636 138 9507
9507 18636 139 9508
9508 18636 140 9509
9509 18636 141 9510
9510 18636 142 9511
9511 18636 143 9512
9512 18636 144 9513
9513 18636 145 9514
9514 18636 146 9515
9515 18636 147 9516
9516 18636 148 9517
9517 18636 149 9518
9518 18636 150 9519
9519 18636 151 9520
9520 18636 152 9521
9521 18636 153 9522
9522 18636 154 9523
9523 18636 155 9524
9524 18636 156 9525
9525 18636 157 9526
9526 18636 158 9527
9527 18636 159 124270
9528 4449 38 248402
9529 53055 7 77276
9530 0 0 0
9531 33498 54 326643
9532 26562 38 371650
9533 26562 6 445551
9534 46854 78 9535
9535 46854 79 9536
9536 46854 80 9537
9537 46854 81 9538
9538 46854 82 9539
9539 46854 83 9540
9540 46854 84 9541
9541 46854 85 9542
9542 46854 86 9543
9543 46854 87 9544
9544 46854 88 9545
9545 46854 89 9546
9546 46854 90 9547
9547 46854 91 9548
9548 46854 92 9549
9549 46854 93 9550
9550 46854 94 9551
9551 46854 95 9552
9552 46854 96 9553
9553 46854 97 9554
9554 46854 98 9555
9555 46854 99 7271
9556 35640 67 428262
9557 0 0 0
9558 0 0 0
9559 0 0 0
9560 0 0 0
9561 0 0 0
9562 46624 41 348530
9563 0 0 0
9564 3237 78 401126
9565 0 0 0
9566 35560 47 492081
9567 0 0 0
9568 7789 72 456684
9569 56253 114 463466
9570 4551 32 101770
9571 0 0 0
9572 0 0 0
9573 0 0 0
9574 0 0 0
9575 61539 60 492973
9576 14173 158 499935
9577 63783 152 131818
9578 0 0 0
9579 0 0 0
9580 57259 11 9581
9581 57259 12 9582
9582 57259 13 299615
9583 13526 152 110902
9584 64366 90 357958
9585 0 0 0
9586 23905 16 9587
9587 23905 17 9588
9588 23905 18 20736
9589 44946 64 387634
9590 46928 178 445082
9591 0 0 0
9592 39969 39 9593
9593 39969 40 9594
9594 39969 41 9595
9595 39969 42 9596
9596 39969 43 9597
9597 39969 44 9598
9598 39969 45 9599
9599 39969 46 9600
9600 39969 47 9601
9601 39969 48 9602
9602 39969 49 9603
9603 39969 50 9604
9604 39969 51 9605
9605 39969 52 9606
9606 39969 53 9607
9607 39969 54 9608
9608 39969 55 9609
9609 39969 56 9610
9610 39969 57 9611
9611 39969 58 9612
9612 39969 59 9613
9613 39969 60 163479
9614 11890 16 298819
9615 21710 51 62420
9616 21667 73 198504
9617 0 0 0
9618 41479 41 66680
9619 24824 10 9620
9620 24824 11 9621
9621 24824 12 299599
9622 6119 58 159255
9623 0 0 0
9624 55004 73 414388
9625 0 0 0
9626 12309 184 181832
9627 5959 10 245128
9628 26633 71 197412
9629 0 0 0
9630 0 0 0
9631 51502 141 390760
9632 24231 38 312702
9633 0 0 0
9634 46318 134 9635
9635 46318 135 9636
9636 46318 136 9637
9637 46318 137 2062
9638 54831 163 136124
9639 0 0 0
9640 47752 137 317027
9641 0 0 0
9642 64299 36 9643
9643 64299 37 9644
9644 64299 38 9645
9645 64299 39 9646
9646 64299 40 9647
9647 64299 41 93878
9648 43382 8 485084
9649 0 0 0
9650 1218 78 146787
9651 37096 74 424324
9652 59832 45 226942
9653 0 0 0
9654 11099 23 49859
9655 0 0 0
9656 0 0 0
9657 54325 119 94937
9658 5526 30 9659
9659 5526 31 9660
9660 5526 32 9661
9661 5526 33 343548
9662 14490 71 131668
9663 6905 94 364274
9664 45855 30 9665
9665 45855 31 9666
9666 45855 32 307336
9667 24948 92 331268
9668 21975 180 9669
9669 21975 181 9670
9670 21975 182 9671
9671 21975 183 9672
9672 21975 184 9673
9673 21975 185 9674
9674 21975 186 9675
9675 21975 187 9676
9676 21975 188 9677
9677 21975 189 9678
9678 21975 190 9679
9679 21975 191 9680
9680 21975 192 9681
9681 21975 193 1
9682 38495 94 9683
9683 38495 95 9684
9684 38495 96 272140
9685 520 101 98584
9686 64951 10 9687
9687 64951 11 9688
9688 64951 12 125790
9689 23275 17 78029
9690 0 0 0
9691 36653 92 234612
9692 24308 8 471471
9693 57642 55 79611
9694 61311 5 131272
9695 14864 69 9696
9696 14864 70 9697
9697 14864 71 9698
9698 14864 72 312828
9699 55693 67 122372
9700 31873 16 144514
9701 0 0 0
9702 62202 204 79361
9703 63604 33 9704
9704 63604 34 9705
9705 63604 35 9706
9706 63604 36 9707
9707 63604 37 439653
9708 44953 195 492800
9709 25236 5 309744
9710 55822 19 9711
9711 55822 20 9712
9712 55822 21 9713
9713 55822 22 451582
9714 3529 75 94642
9715 0 0 0
9716 45416 138 45823
9717 0 0 0
9718 8015 20 480868
9719 0 0 0
9720 33045 80 462692
9721 0 0 0
9722 63582 15 15475
9723 59636 54 34264
9724 46654 41 9725
9725 46654 42 9726
9726 46654 43 9727
9727 46654 44 9728
9728 46654 45 9729
9729 46654 46 9730
9730 46654 47 9731
9731 46654 48 9732
9732 46654 49 291280
9733 30528 85 422533
9734 0 0 0
9735 0 0 0
9736 44953 9 38060
9737 0 0 0
9738 28206 99 9739
9739 28206 100 9740
9740 28206 101 9741
9741 28206 102 9742
9742 28206 103 9743
9743 28206 104 361903
9744 35731 29 160523
9745 23905 38 9746
9746 23905 39 9747
9747 23905 40 9748
9748 23905 41 9749
9749 23905 42 254570
9750 51750 73 68548
9751 0 0 0
9752 24776 48 9753
9753 24776 49 9754
9754 24776 50 9755
9755 24776 51 9756
9756 24776 52 322404
9757 40488 19 85698
9758 55456 7 1
9759 0 0 0
9760 49172 53 261026
9761 0 0 0
9762 7486 139 9763
9763 7486 140 9764
9764 7486 141 354806
9765 9814 14 249318
9766 36767 94 44302
9767 9350 23 221431
9768 0 0 0
9769 22828 12 449906
9770 17087 137 70626
9771 0 0 0
9772 4175 43 487684
9773 0 0 0
9774 62034 62 76204
9775 0 0 0
9776 1826 102 9777
9777 1826 103 9778
9778 1826 104 9779
9779 1826 105 21354
9780 29391 25 311068
9781 17236 45 114626
9782 10312 26 253746
9783 0 0 0
9784 43938 55 401493
9785 47800 16 29332
9786 53832 89 159245
9787 0 0 0
9788 49615 104 409700
9789 32049 48 335133
9790 0 0 0
9791 0 0 0
9792 57689 41 225470
9793 0 0 0
9794 2309 2 235375
9795 0 0 0
9796 0 0 0
9797 24808 95 459802
9798 0 0 0
9799 6809 91 367882
9800 63554 7 384272
9801 0 0 0
9802 24653 31 158141
9803 8180 1 9804
9804 8180 2 9805
9805 8180 3 9806
9806 8180 4 9807
9807 8180 5 9808
9808 8180 6 9809
9809 8180 7 9810
9810 8180 8 9811
9811 8180 9 9812
9812 8180 10 9813
9813 8180 11 9814
9814 8180 12 9815
9815 8180 13 9816
9816 8180 14 9817
9817 8180 15 9818
9818 8180 16 9819
9819 8180 17 9820
9820 8180 18 9821
9821 8180 19 9822
9822 8180 20 9823
9823 8180 21 9824
9824 8180 22 9825
9825 8180 23 9826
9826 8180 24 9827
9827 8180 25 9828
9828 8180 26 9829
9829 8180 27 9830
9830 8180 28 9831
9831 8180 29 21050
9832 52859 83 247876
9833 44093 59 1
9834 49139 98 373463
9835 0 0 0
9836 59197 16 111151
9837 35088 158 216037
9838 50541 127 43002
9839 0 0 0
9840 44946 12 35953
9841 11386 33 265264
9842 21374 13 9843
9843 21374 14 9844
9844 21374 15 9845
9845 21374 16 458366
9846 26609 75 77920
9847 46343 187 150273
9848 62452 118 423579
9849 0 0 0
9850 4666 212 9851
9851 4666 213 9852
9852 4666 214 358612
9853 15669 81 452390
9854 60953 64 358306
9855 0 0 0
9856 0 0 0
9857 35157 90 9858
9858 35157 91 9859
9859 35157 92 9860
9860 35157 93 9861
9861 35157 94 9862
9862 35157 95 9863
9863 35157 96 9864
9864 35157 97 9865
9865 35157 98 328162
9866 60317 18 289558
9867 0 0 0
9868 4008 64 9869
9869 4008 65 9870
9870 4008 66 9871
9871 4008 67 9872
9872 4008 68 9873
9873 4008 69 9874
9874 4008 70 9875
9875 4008 71 9876
9876 4008 72 9877
9877 4008 73 411501
9878 2078 187 80398
9879 0 0 0
9880 40087 106 490420
9881 43298 30 422908
9882 15932 74 9883
9883 15932 75 53670
9884 41360 125 353802
9885 28465 95 9886
9886 28465 96 9887
9887 28465 97 9888
9888 28465 98 9889
9889 28465 99 397328
9890 26589 41 486432
9891 0 0 0
9892 17236 62 426281
9893 0 0 0
9894 22192 18 35253
9895 46422 70 453818
9896 10530 131 280146
9897 0 0 0
9898 35515 20 309482
9899 0 0 0
9900 59937 26 9901
9901 59937 27 9902
9902 59937 28 9903
9903 59937 29 9904
9904 59937 30 9905
9905 59937 31 20095
9906 47641 33 309909
9907 0 0 0
9908 59381 23 430094
9909 0 0 0
9910 51059 20 73143
9911 40005 41 9912
9912 40005 42 9913
9913 40005 43 266299
9914 49573 77 90714
9915 13002 74 248129
9916 9086 68 119658
9917 0 0 0
9918 4876 78 9919
9919 4876 79 9920
9920 4876 80 31425
9921 6607 45 1058
9922 42994 104 121660
9923 23785 21 140531
9924 9159 108 298442
9925 64358 103 9926
9926 64358 104 9927
9927 64358 105 492662
9928 44861 42 30965
9929 0 0 0
9930 0 0 0
9931 32090 84 263484
9932 520 142 279178
9933 13965 132 9934
9934 13965 133 9935
9935 13965 134 452052
9936 35158 46 333195
9937 0 0 0
9938 31682 192 9939
9939 31682 193 1
9940 52315 17 462298
9941 0 0 0
9942 47446 27 51589
9943 0 0 0
9944 45830 8 25202
9945 0 0 0
9946 0 0 0
9947 19079 72 33479
9948 4087 54 152880
9949 0 0 0
9950 42647 17 9951
9951 42647 18 9952
9952 42647 19 9953
9953 42647 20 9954
9954 42647 21 9955
9955 42647 22 9956
9956 42647 23 9957
9957 42647 24 9958
9958 42647 25 9959
9959 42647 26 9960
9960 42647 27 9961
9961 42647 28 30224
9962 35515 172 399100
9963 19936 12 51274
9964 0 0 0
9965 0 0 0
9966 48900 28 291833
9967 0 0 0
9968 28131 28 268612
9969 0 0 0
9970 62575 20 200537
9971 0 0 0
9972 17749 103 451988
9973 0 0 0
9974 23785 2 425112
9975 0 0 0
9976 63925 88 221092
9977 8701 78 355668
9978 21667 159 464754
9979 40388 4 100933
9980 48849 199 366582
9981 62790 1 9982
9982 62790 2 9983
9983 62790 3 9984
9984 62790 4 9985
9985 62790 5 9986
9986 62790 6 9987
9987 62790 7 9988
9988 62790 8 9989
9989 62790 9 9990
